time, gx, gy, gz, ax, ay, az, mx, my, mz
10809390,+6.990,-14.070,+0.470,+0.291,+0.475,+10.072,+23.700,-0.100,-34.900
10809400,+8.620,-15.140,+0.450,+0.348,+0.530,+10.065,+23.700,+0.300,-34.900
10809410,+10.310,-16.500,-0.020,+0.366,+0.586,+10.127,+23.500,-0.500,-35.200
10809420,+11.650,-19.450,+0.030,+0.332,+0.571,+10.072,+22.500,+1.400,-38.500
10809430,+11.840,-20.420,-0.630,+0.428,+0.608,+10.001,+22.900,-0.500,-35.000
10809440,+11.470,-19.200,-0.730,+0.432,+0.569,+10.019,+23.000,-0.100,-35.200
10809450,+10.880,-17.140,-0.480,+0.433,+0.571,+9.997,+22.900,-0.600,-35.200
10809460,+9.940,-14.360,-0.220,+0.466,+0.586,+9.914,+22.500,-0.500,-35.400
10809470,+9.550,-11.360,-0.160,+0.489,+0.568,+9.886,+22.400,-1.000,-35.500
10809480,+9.340,-8.120,-0.420,+0.531,+0.581,+9.862,+22.400,-0.800,-35.700
10809490,+8.980,-6.540,-0.220,+0.522,+0.617,+9.840,+22.700,-1.300,-35.900
10809500,+8.740,-4.030,-0.100,+0.496,+0.692,+9.801,+21.400,+0.300,-39.000
10809510,+8.700,-0.360,+0.130,+0.501,+0.720,+9.897,+22.100,-1.000,-35.900
10809520,+9.090,+2.960,+0.440,+0.483,+0.731,+9.841,+21.700,-1.300,-35.500
10809530,+9.190,+5.310,+0.910,+0.513,+0.754,+9.854,+22.700,-1.100,-35.500
10809540,+9.640,+5.950,+1.000,+0.548,+0.725,+9.818,+21.900,-1.500,-36.000
10809550,+10.200,+5.660,+0.970,+0.541,+0.751,+9.851,+21.900,+0.000,-38.800
10809560,+10.190,+5.320,+1.010,+0.514,+0.770,+9.810,+22.200,-1.600,-35.700
10809570,+9.320,+5.290,+1.010,+0.512,+0.792,+9.859,+22.400,-1.800,-35.700
10809580,+8.430,+5.960,+0.890,+0.512,+0.777,+9.936,+22.200,-1.800,-35.500
10809590,+7.520,+7.770,+0.780,+0.521,+0.812,+9.950,+22.400,-2.000,-35.200
10809600,+7.010,+8.970,+0.450,+0.516,+0.848,+9.955,+22.400,-1.800,-35.400
10809610,+7.070,+8.470,+0.110,+0.480,+0.878,+10.027,+22.200,-2.000,-35.400
10809620,+7.240,+5.520,-0.120,+0.436,+0.905,+10.009,+22.400,-2.500,-35.400
10809630,+7.700,+2.360,+0.050,+0.475,+0.929,+10.001,+22.700,-2.100,-35.400
10809640,+7.640,+0.230,-0.540,+0.456,+0.959,+9.985,+22.500,-2.300,-34.900
10809650,+7.560,-1.170,-0.630,+0.504,+0.970,+9.994,+22.900,-2.100,-35.500
10809660,+7.710,-2.280,-0.920,+0.475,+1.012,+10.012,+22.400,-2.500,-35.000
10809670,+8.250,-3.800,-1.050,+0.488,+1.011,+9.964,+22.400,-2.300,-35.400
10809680,+8.680,-6.820,-1.130,+0.484,+1.002,+9.941,+22.700,-2.300,-35.400
10809690,+8.750,-9.450,-1.310,+0.512,+1.011,+9.887,+22.500,-2.800,-35.500
10809700,+8.350,-10.380,-1.600,+0.518,+0.991,+9.876,+22.400,-2.500,-35.000
10809710,+6.720,-9.870,-1.760,+0.540,+1.034,+9.848,+22.400,-2.500,-35.700
